"lemmaId","arabic","lemma","root","partOfSpeech","phoneticKeys","occurrenceCount","firstRef","meaning","reviewStatus"
"akf-aakf","EaAkif","EaAkif","Ekf","noun","aakf","7","2:125:20","","auto"
"akf-makwf","maEokuwf","maEokuwf","Ekf","noun","makwf","1","48:25:9","","auto"
"akf-yakf","yaEokufu","yaEokufu","Ekf","verb","yakf","1","7:138:8","","auto"
"akhdh-akhdh",">axa*a",">axa*a","Ax*","verb","akhdh","136","2:48:14","","auto"
"akhdh-mtkhdh","mut~axi*","mut~axi*","Ax*","noun","mtkhdh","3","4:25:33","","auto"
"akhdh-tkhadh","{t~ixaA*","{t~ixaA*","Ax*","noun","tkhadh","1","2:54:9","","auto"
"akhdh-tkhdh","{t~axa*a","{t~axa*a","Ax*","verb","tkhdh","124","2:51:7","","auto"
"akhdh-ywakhdh","yu&aAxi*u","yu&aAxi*u","Ax*","verb","ywakhdh","9","2:225:2","","auto"
"akhr-akhr","A^xir","A^xir","Axr","noun","akhr","240","2:4:10","","auto"
"akhr-mstkhryn","musota_#oxiriyn","musota_#oxiriyn","Axr","noun","mstkhryn","1","15:24:7","","auto"
"akhr-takhr","ta>ax~ara","ta>ax~ara","Axr","verb","takhr","3","2:203:14","","auto"
"akhr-ystakhr","yasota>oxiru","yasota>oxiru","Axr","verb","ystakhr","6","7:34:8","","auto"
"akhw-akh",">ax",">ax","Axw","noun","akh","75","2:178:19","","auto"
"akhw-akht",">uxot",">uxot","Axw","noun","akht","14","4:12:60","","auto"
"akhw-ikhwh","<ixowapN","<ixowapN","Axw","noun","ikhwh","7","4:11:46","","auto"
"akl-aaklwn","'aAkiluwn","'aAkiluwn","Akl","noun","aaklwn","3","23:20:9","","auto"
"akl-akalwn",">ak~a`luwn",">ak~a`luwn","Akl","noun","akalwn","1","5:42:3","","auto"
"akl-akl",">akala",">akala","Akl","verb","akl","104","2:35:7","","auto"
"akl-makwl","m~a>okuwl","m~a>okuwl","Akl","adjective","makwl","1","105:5:3","","auto"
"alf-alf",">alof",">alof","Alf","noun","alf","19","2:96:13","","auto"
"alf-ilaf","<ila`f","<ila`f","Alf","noun","ilaf","2","106:1:1","","auto"
"alf-mwlfh","mu&al~afap","mu&al~afap","Alf","noun","mwlfh","1","9:60:7","","auto"
"alh-ilah","<ila`h","<ila`h","Alh","noun","ilah","147","2:133:17","","auto"
"alh-llh","{ll~ah","{ll~ah","Alh","proper-noun","llh","2699","1:1:2","","auto"
"alh-llhm","{ll~ahum~a","{ll~ahum~a","Alh","proper-noun","llhm","5","3:26:2","","auto"
"all-il","<il~","<il~","All","noun","il","2","9:8:8","","auto"
"alm-aalam",">aEola`m",">aEola`m","Elm","noun","aalam","2","42:32:6","","auto"
"alm-aalm",">aEolam",">aEolam","Elm","noun","aalm","67","2:140:15","","auto"
"alm-aalmyn","Ea`lamiyn","Ea`lamiyn","Elm","noun","aalmyn","73","1:2:4","","auto"
"alm-alam","Eal~a`m","Eal~a`m","Elm","noun","alam","4","5:109:14","","auto"
"alm-alamat","Eala`ma`t","Eala`ma`t","Elm","noun","alamat","1","16:16:1","","auto"
"alm-alm","Ealima","Ealima","Elm","verb","alm","528","2:13:19","","auto"
"alm-alym",">aliym",">aliym","Alm","adjective","alym","235","2:10:9","","auto"
"alm-malm","muEal~am","muEal~am","Elm","noun","malm","1","44:14:5","","auto"
"alm-malwm","m~aEoluwm","m~aEoluwm","Elm","noun","malwm","11","15:4:8","","auto"
"alm-malwmat","m~aEoluwma`t","m~aEoluwma`t","Elm","adjective","malwmat","2","2:197:3","","auto"
"alm-yalm","ya>olamu","ya>olamu","Alm","verb","yalm","3","4:104:8","","auto"
"alm-ytalm","yataEal~amu","yataEal~amu","Elm","verb","ytalm","2","2:102:35","","auto"
"aln-aaln",">aEolan",">aEolan","Eln","verb","aaln","12","2:77:9","","auto"
"aln-alanyh","EalaAniyap","EalaAniyap","Eln","noun","alanyh","4","2:274:7","","auto"
"alq-alq","Ealaq","Ealaq","Elq","noun","alq","1","96:2:4","","auto"
"alq-alqh","Ealaqap","Ealaqap","Elq","noun","alqh","5","22:5:18","","auto"
"alq-malqh","muEal~aqap","muEal~aqap","Elq","noun","malqh","1","4:129:14","","auto"
"alt-alt",">alato",">alato","Alt","verb","alt","1","52:21:10","","auto"
"alw-aal","EaAl","EaAl","Elw","noun","aal","1","10:83:17","","auto"
"alw-aalaa","'aAlaA^'","'aAlaA^'","Alw","noun","aalaa","43","7:69:24","","auto"
"alw-aalwn",">aEolawon",">aEolawon","Elw","noun","aalwn","2","3:139:6","","auto"
"alw-aaly","EaAliy","EaAliy","Elw","noun","aaly","4","11:82:5","","auto"
"alw-aalyh","EaAliyap","EaAliyap","Elw","adjective","aalyh","2","69:22:3","","auto"
"alw-aalyn","EaAliyn","EaAliyn","Elw","adjective","aalyn","2","23:46:7","","auto"
"alw-alw","Euluw~","Euluw~","Elw","noun","alw","4","17:4:12","","auto"
"alw-aly","Ealiy~","Ealiy~","Elw","noun","aly","11","2:255:49","","auto"
"alw-alya","EuloyaA","EuloyaA","Elw","noun","alya","3","9:40:40","","auto"
"alw-alyyn","Eil~iy~iyn","Eil~iy~iyn","Elw","noun","alyyn","2","83:18:6","","auto"
"alw-mtaal","mutaEaAl","mutaEaAl","Elw","noun","mtaal","1","13:9:5","","auto"
"alw-stalaa","{sotaEolaY`","{sotaEolaY`","Elw","verb","stalaa","1","20:64:10","","auto"
"alw-taal","taEaAla","taEaAla","Elw","verb","taal","8","3:61:11","","auto"
"alw-taalaa","taEa`laY`","taEa`laY`","Elw","verb","taalaa","20","6:100:13","","auto"
"alw-yal","ya>olu","ya>olu","Alw","verb","yal","1","3:118:10","","auto"
"alw-yatl","ya>otali","ya>otali","Alw","verb","yatl","1","24:22:2","","auto"
"alw-ywl","yu&olu","yu&olu","Alw","verb","ywl","1","2:226:2","","auto"
"amd-amad","EimaAd","EimaAd","Emd","noun","amad","1","89:7:3","","auto"
"amd-amd",">amad",">amad","Amd","noun","amd","7","3:30:19","","auto"
"amd-mtamd","m~utaEam~id","m~utaEam~id","Emd","noun","mtamd","2","4:93:4","","auto"
"amd-tamdt","taEam~adato","taEam~adato","Emd","verb","tamdt","1","33:5:23","","auto"
"amh-yamh","yaEomahu","yaEomahu","Emh","verb","yamh","7","2:15:7","","auto"
"aml-aaml","Ea`mil","Ea`mil","Eml","noun","aaml","12","3:136:15","","auto"
"aml-aamlh","EaAmilap","EaAmilap","Eml","adjective","aamlh","1","88:3:1","","auto"
"aml-aml","Eamila","Eamila","Eml","verb","aml","349","2:25:4","","auto"
"amm-am",">um~",">um~","Amm","noun","am","36","3:7:10","","auto"
"amm-ama",">um~iY~",">um~iY~","Amm","noun","ama","6","2:78:2","","auto"
"amm-amam",">amaAm",">amaAm","Amm","time","amam","1","75:5:5","","auto"
"amm-amat","Eam~a`t","Eam~a`t","Emm","noun","amat","3","4:23:6","","auto"
"amm-amh",">um~ap",">um~ap","Amm","noun","amh","64","2:128:7","","auto"
"amm-amyn","A^m~iyn","A^m~iyn","Amm","noun","amyn","1","5:2:16","","auto"
"amm-imam","<imaAm","<imaAm","Amm","noun","imam","12","2:124:11","","auto"
"amn-aamn","'aAmana","'aAmana","Amn","verb","aamn","543","2:3:2","","auto"
"amn-aamnh","'aAminap","'aAminap","Amn","noun","aamnh","1","16:112:6","","auto"
"amn-aamnyn","'aAminiyn","'aAminiyn","Amn","noun","aamnyn","10","12:99:14","","auto"
"amn-amanat",">ama`na`t",">ama`na`t","Amn","noun","amanat","4","4:58:6","","auto"
"amn-amant",">ama`nat",">ama`nat","Amn","noun","amant","2","2:283:17","","auto"
"amn-amn",">amon",">amon","Amn","noun","amn","25","2:125:6","","auto"
"amn-amnh",">amanap",">amanap","Amn","noun","amnh","2","3:154:7","","auto"
"amn-amyn",">amiyn",">amiyn","Amn","adjective","amyn","14","7:68:7","","auto"
"amn-iyman","<iyma`n","<iyma`n","Amn","noun","iyman","45","2:93:24","","auto"
"amn-mamn","ma>oman","ma>oman","Amn","noun","mamn","1","9:6:13","","auto"
"amn-mamwn","ma>omuwn","ma>omuwn","Amn","noun","mamwn","1","70:28:5","","auto"
"amn-mwmn","mu&omin","mu&omin","Amn","noun","mwmn","202","2:8:11","","auto"
"amn-mwmnat","m~u&omina`t","m~u&omina`t","Amn","adjective","mwmnat","22","4:25:9","","auto"
"amn-mwmnh","m~u&ominap","m~u&ominap","Amn","adjective","mwmnh","6","2:221:7","","auto"
"amn-wtmn","{&otumina","{&otumina","Amn","verb","wtmn","1","2:283:16","","auto"
"amq-amyq","Eamiyq","Eamiyq","Emq","adjective","amyq","1","22:27:14","","auto"
"amr-aamrwn","'aAmiruwn","'aAmiruwn","Amr","noun","aamrwn","1","9:112:7","","auto"
"amr-amarh","EimaArap","EimaArap","Emr","noun","amarh","2","9:19:4","","auto"
"amr-amr",">amara",">amara","Amr","verb","amr","255","2:27:10","","auto"
"amr-amrh","Eumorap","Eumorap","Emr","noun","amrh","2","2:196:3","","auto"
"amr-atmr","{Eotamara","{Eotamara","Emr","verb","atmr","1","2:158:11","","auto"
"amr-imr","<imor","<imor","Amr","adjective","imr","1","18:71:15","","auto"
"amr-mamr","m~uEam~ar","m~uEam~ar","Emr","noun","mamr","1","35:11:22","","auto"
"amr-mamwr","maEomuwr","maEomuwr","Emr","noun","mamwr","1","52:4:2","","auto"
"amr-stamr","{sotaEomara","{sotaEomara","Emr","verb","stamr","1","11:61:18","","auto"
"amr-yamr","yuEam~aru","yuEam~aru","Emr","verb","yamr","5","2:96:12","","auto"
"amr-yatmr","ya>otamiru","ya>otamiru","Amr","verb","yatmr","2","28:20:11","","auto"
"amt-amt",">amot",">amot","Amt","noun","amt","1","20:107:6","","auto"
"amw-amh",">amap",">amap","Amw","noun","amh","2","2:221:6","","auto"
"amy-aamaa",">aEomaY`",">aEomaY`","Emy","noun","aamaa","21","2:18:3","","auto"
"amy-ama","EamiYa","EamiYa","Emy","verb","ama","9","5:71:5","","auto"
"amy-amwn","Eamuwn","Eamuwn","Emy","adjective","amwn","2","7:64:14","","auto"
"amy-amyt","Eum~iyato","Eum~iyato","Emy","verb","amyt","1","11:28:14","","auto"
"anb-anb","Einab","Einab","Enb","noun","anb","11","2:266:9","","auto"
"and-and","Eind","Eind","End","location","and","184","2:54:19","","auto"
"and-anyd","Eaniyd","Eaniyd","End","adjective","anyd","4","11:59:12","","auto"
"anf-aanf","'aAnif","'aAnif","Anf","noun","aanf","1","47:16:16","","auto"
"anf-anf",">anf",">anf","Anf","noun","anf","2","5:45:9","","auto"
"ankb-ankbwt","Eankabuwt","Eankabuwt","Enkb","noun","ankbwt","2","29:41:9","","auto"
"anm-anam",">anaAm",">anaAm","Anm","noun","anam","1","55:10:3","","auto"
"anq-anq","Eunuq","Eunuq","Enq","noun","anq","9","8:12:19","","auto"
"ans-aans","'aAnasa","'aAnasa","Ans","verb","aans","5","4:6:8","","auto"
"ans-ins","<ins","<ins","Ans","noun","ins","18","6:112:7","","auto"
"ans-insan","<insa`n","<insa`n","Ans","noun","insan","71","2:60:17","","auto"
"ans-insy","<insiy~","<insiy~","Ans","noun","insy","1","19:26:18","","auto"
"ans-mstnsyn","musota_#onisiyn","musota_#onisiyn","Ans","noun","mstnsyn","1","33:53:25","","auto"
